Country	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
DW_EXST,I10_A_AVG,AT	227.96 	206.64 	180.61 	167.20 	158.14 	150.24 	142.79 	130.49 	124.31 	120.45 	114.31 	106.30 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,BE	144.10 	136.37 	126.86 	121.75 	116.79 	113.70 	109.93 	107.48 	106.82 	106.88 	106.53 	104.08 	100.00 	95.85 	96.09 	91.41 	83.86 	75.16 
DW_EXST,I10_A_AVG,BG	163.17 b	141.15 	129.22 	121.93 	116.35 	108.70 	99.07 	92.29 b	90.23 	89.80 	91.44 	93.94 	100.00 	111.25 	141.46 	113.21 	87.81 	76.56 
DW_EXST,I10_A_AVG,CY	96.28 	94.52 	93.99 	93.87 	92.93 	92.65 	91.34 	91.93 b	93.43 	92.80 	97.05 	101.61 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,CZ	225.50 	193.50 	161.20 	148.90 	136.30 	126.00 	113.10 	105.40 	101.40 	98.90 	99.00 	100.30 	100.00 	101.60 	106.80 	: 	: 	: 
DW_EXST,I10_A_AVG,DE	197.60 p	187.60 	167.10 	154.70 	145.60 	136.50 	128.30 	119.20 	113.90 	110.60 	106.90 	103.30 	100.00 	99.20 	99.10 	98.00 	100.80 	101.10 
DW_EXST,I10_A_AVG,DK	150.38 	151.26 	135.26 	128.66 	125.67 	120.38 	115.12 	109.37 	102.31 	98.64 	95.28 	98.08 	100.00 	97.15 	110.62 	116.50 	113.85 	91.79 
DW_EXST,I10_A_AVG,EE	277.52 	221.25 	188.88 	182.55 	171.05 	164.39 	155.18 	148.70 	141.74 	127.71 	114.69 	108.46 	100.00 	96.78 	157.86 	177.06 	156.23 	98.69 
DW_EXST,I10_A_AVG,ES	99.37 	92.64 	89.42 	88.15 	84.12 	78.78 	74.15 	71.09 	68.77 	68.71 	77.11 	90.55 	100.00 	101.21 	111.22 	118.61 	109.68 	: 
DW_EXST,I10_A_AVG,FI	112.49 	111.92 	107.27 	105.83 	105.69 	104.97 	104.30 	103.16 b	103.62 	104.61 	103.86 	102.64 	100.00 	92.11 	: c	: c	: c	: c
DW_EXST,I10_A_AVG,FR	131.71 p	123.73 	116.08 	109.95 	106.48 	103.37 	100.34 	99.42 	101.29 	103.15 	105.37 	105.95 	100.00 	95.12 	102.41 	101.56 	95.28 	85.04 
DW_EXST,I10_A_AVG,HR	148.24 	129.47 	120.79 	111.29 	102.04 	95.75 	91.58 	89.95 	91.24 	92.41 	96.51 	99.02 	100.00 	105.52 	113.25 	: 	: 	: 
DW_EXST,I10_A_AVG,HU	267.02 p	218.88 	188.60 	181.48 	154.57 	135.13 	120.78 	106.38 	93.91 	90.14 	92.73 	96.58 	100.00 	101.95 	108.00 	105.50 	: 	: 
DW_EXST,I10_A_AVG,IE	160.25 	141.20 	128.52 	128.89 	126.61 	114.96 	102.76 	95.63 	86.22 	73.44 	71.58 	82.80 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,IT	82.90 	80.20 	78.40 	77.00 	77.30 	78.10 	79.00 	78.90 	82.70 	87.50 	95.80 	100.40 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,LT	232.01 	196.14 	167.46 	155.46 	145.23 	135.61 	124.92 	117.33 	113.53 	106.27 	104.01 	105.92 	100.00 	104.53 	152.12 	144.54 	108.08 	: 
DW_EXST,I10_A_AVG,LU	236.72 	217.49 	189.21 	164.98 	148.82 	138.08 	130.65 	123.01 	118.34 	112.57 	108.95 	104.82 	100.00 	94.44 	97.95 	96.50 	: 	: 
DW_EXST,I10_A_AVG,LV	223.78 	195.99 	171.89 	167.66 	153.96 	139.69 	128.27 	118.22 	120.81 	114.74 	106.80 	106.03 	100.00 	114.00 	180.97 	179.93 	130.42 	: 
DW_EXST,I10_A_AVG,MT	165.74 p	156.52 	153.19 	143.80 	136.89 	131.07 	124.32 	116.42 	110.92 	107.71 	103.66 	100.13 	100.00 	103.69 	111.43 	: 	: 	: 
DW_EXST,I10_A_AVG,NL	164.28 	144.63 	125.55 	116.51 	109.00 	100.00 	92.96 	88.49 	86.06 	85.28 	91.28 	97.57 	100.00 	102.30 	105.91 	102.83 	98.68 	94.36 
DW_EXST,I10_A_AVG,NO	190.36 	180.75 	164.18 	157.05 	152.90 	151.20 	143.14 	132.22 	123.51 	120.28 	115.51 	108.02 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,PL	164.02 	146.74 	134.29 	118.03 	106.89 	99.43 	95.18 	92.82 	92.21 	91.02 	94.54 	99.59 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,PT	182.59 	160.32 	146.22 	134.04 	121.59 	109.52 	99.20 	91.28 	87.81 	84.16 	86.07 	93.38 	100.00 	99.20 	100.41 	: 	: 	: 
DW_EXST,I10_A_AVG,RO	118.38 	112.60 	107.23 	102.18 	98.46 	92.95 	86.63 	81.73 	79.04 	80.78 	80.62 	86.22 	100.00 	108.33 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,SE	192.69 	189.16 	168.48 	159.34 	156.26 	161.00 	150.93 	139.06 	121.00 	109.37 	102.77 	101.87 	100.00 	91.74 	89.54 	89.14 	78.38 	68.42 
DW_EXST,I10_A_AVG,SI	149.59 	129.56 	116.16 	110.86 	102.66 	94.29 	87.44 	84.27 	83.80 	90.03 	95.05 	100.67 	100.00 	97.96 	106.05 	101.22 	: 	: 
DW_EXST,I10_A_AVG,SK	191.26 	170.66 	158.77 	143.61 	129.37 	119.74 	113.48 	106.11 	99.71 	98.40 	96.97 	99.20 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,TR	1079.62 	415.24 	299.77 	241.01 	229.73 	214.61 	195.29 	171.96 	148.02 	130.25 	117.14 	107.36 	100.00 	: 	: 	: 	: 	: 
DW_EXST,I10_A_AVG,UK	: 	: 	: 	134.75 	133.40 	129.36 	123.77 	115.88 	109.32 	101.20 	98.70 	98.26 	100.00 	94.26 	103.33 	108.30 	98.34 	91.04 
DW_EXST,I15_A_AVG,AT	174.69 	158.36 	138.42 	128.14 	121.19 	115.14 	109.42 	100.00 	95.27 	92.30 	87.60 	81.46 	76.64 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,BE	134.07 	126.88 	118.03 	113.27 	108.66 	105.79 	102.28 	100.00 	99.39 	99.44 	99.12 	96.83 	93.04 	89.18 	89.40 	85.05 	78.03 	69.93 
DW_EXST,I15_A_AVG,BG	176.79 b	152.94 	140.01 	132.11 	126.07 	117.77 	107.34 	100.00 b	97.76 	97.30 	99.08 	101.78 	108.35 	120.53 	153.27 	122.66 	95.15 	82.95 
DW_EXST,I15_A_AVG,CY	104.73 	102.81 	102.23 	102.12 	101.08 	100.78 	99.35 	100.00 b	101.63 	100.95 	105.57 	110.53 	108.78 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,CZ	214.00 	183.60 	153.00 	141.30 	129.30 	119.60 	107.30 	100.00 	96.20 	93.90 	93.90 	95.20 	94.90 	96.40 	101.30 	: 	: 	: 
DW_EXST,I15_A_AVG,DE	165.80 p	157.50 	140.20 	129.80 	122.20 	114.50 	107.60 	100.00 	95.60 	92.80 	89.70 	86.70 	83.90 	83.20 	83.20 	82.20 	84.60 	84.90 
DW_EXST,I15_A_AVG,DK	137.50 	138.30 	123.67 	117.64 	114.90 	110.07 	105.25 	100.00 	93.54 	90.19 	87.11 	89.68 	91.43 	88.82 	101.14 	106.52 	104.09 	83.93 
DW_EXST,I15_A_AVG,EE	186.63 	148.79 	127.02 	122.76 	115.03 	110.55 	104.35 	100.00 	95.32 	85.89 	77.13 	72.94 	67.25 	65.09 	106.16 	119.07 	105.06 	66.37 
